Timestep: 0-540, Program time: 301.8486490249634 s, Sim. time: 0.9099863760933957 TU, Active/Total Cells: 352867/537225, Max key %: 8.297222602450353e-08%
Timestep: 0-560, Program time: 326.4222819805145 s, Sim. time: 0.9189306631256862 TU, Active/Total Cells: 364202/554164, Max key %: 9.077570521979182e-08%
Timestep: 0-580, Program time: 351.7417342662811 s, Sim. time: 0.9273200737389069 TU, Active/Total Cells: 374891/570109, Max key %: 1.0127977185755456e-07%
Timestep: 0-600, Program time: 378.7172842025757 s, Sim. time: 0.9352161910924017 TU, Active/Total Cells: 385633/585989, Max key %: 1.1031864504480911e-07%
Timestep: 0-620, Program time: 406.18747329711914 s, Sim. time: 0.9426690810917169 TU, Active/Total Cells: 395541/600911, Max key %: 1.174889330734976e-07%
Timestep: 0-640, Program time: 434.80944323539734 s, Sim. time: 0.949679988640468 TU, Active/Total Cells: 405036/614818, Max key %: 1.275866647520909e-07%
Timestep: 0-660, Program time: 464.13240599632263 s, Sim. time: 0.9562928977259739 TU, Active/Total Cells: 414623/629083, Max key %: 1.3830665989106143e-07%
Timestep: 0-680, Program time: 493.5517420768738 s, Sim. time: 0.962627845268578 TU, Active/Total Cells: 423903/643051, Max key %: 1.4678155660862412e-07%
Timestep: 0-700, Program time: 523.9699699878693 s, Sim. time: 0.9685990558957234 TU, Active/Total Cells: 432556/655954, Max key %: 1.5265698197187115e-07%
Timestep: 0-716, Program time: 542.4969861507416 s, Sim. time: 0.9729829908187496 TU, Active/Total Cells: 437753/697106, Max key %: 1.6177901561247564e-07%
Timestep: 0-720, Program time: 555.8168649673462 s, Sim. time: 0.9741078294875274 TU, Active/Total Cells: 440674/668182, Max key %: 1.64906854377379e-07%
Timestep: 0-740, Program time: 587.5397601127625 s, Sim. time: 0.9795608814983835 TU, Active/Total Cells: 449355/681361, Max key %: 1.7456348834423048e-07%
Timestep: 0-760, Program time: 619.8572762012482 s, Sim. time: 0.9848022986307442 TU, Active/Total Cells: 457504/693419, Max key %: 1.8123317810131608e-07%
Timestep: 0-780, Program time: 653.5143101215363 s, Sim. time: 0.9898208705108634 TU, Active/Total Cells: 465231/704817, Max key %: 1.8809856394360648e-07%
Timestep: 0-800, Program time: 687.5160782337189 s, Sim. time: 0.9946554798423058 TU, Active/Total Cells: 473122/716752, Max key %: 1.9874494968058314e-07%
Timestep: 0-820, Program time: 722.707188129425 s, Sim. time: 0.9992846068320256 TU, Active/Total Cells: 480792/728589, Max key %: 2.098379055855571e-07%
Timestep: 0-840, Program time: 758.6126489639282 s, Sim. time: 1.0037464424594802 TU, Active/Total Cells: 488299/739863, Max key %: 2.1361326233803983e-07%
Timestep: 0-860, Program time: 795.188423871994 s, Sim. time: 1.0080955313484425 TU, Active/Total Cells: 495464/750598, Max key %: 2.2139644345804156e-07%
Timestep: 0-880, Program time: 832.7565450668335 s, Sim. time: 1.0123105032243298 TU, Active/Total Cells: 502580/761264, Max key %: 2.293500789187896e-07%
Timestep: 0-900, Program time: 870.1175351142883 s, Sim. time: 1.0164753708172722 TU, Active/Total Cells: 509993/772673, Max key %: 2.375371086946968e-07%
Timestep: 0-920, Program time: 908.2213010787964 s, Sim. time: 1.020510986647369 TU, Active/Total Cells: 517017/783654, Max key %: 2.501951709775029e-07%
Timestep: 0-940, Program time: 946.8667409420013 s, Sim. time: 1.0243776198500856 TU, Active/Total Cells: 523924/794069, Max key %: 2.502021787182448e-07%
Timestep: 0-960, Program time: 986.3241910934448 s, Sim. time: 1.0281480373840028 TU, Active/Total Cells: 530757/804291, Max key %: 2.5891829877485416e-07%
Timestep: 0-980, Program time: 1025.8981051445007 s, Sim. time: 1.0318190216465362 TU, Active/Total Cells: 537117/813725, Max key %: 2.678607733460226e-07%
Timestep: 0-1000, Program time: 1066.5853040218353 s, Sim. time: 1.035397264539819 TU, Active/Total Cells: 543919/824081, Max key %: 2.770482057906209e-07%
Timestep: 0-1014, Program time: 1087.8434150218964 s, Sim. time: 1.0378485235399997 TU, Active/Total Cells: 547137/865558, Max key %: 2.8645532518831e-07%
